Composition,Glass_Forming,Composition_Length,num_elements
Al4Fe37B9,True,9,3
Al4Fe39B7,True,9,3
Al4Fe41B5,False,9,3
Al4Ni,False,5,2
Al4Ni25B21,True,10,3
Al4Ni27B19,True,10,3
Al4Ni29B17,True,10,3
Al4Ni31B15,True,10,3
Al4Ni33B13,True,10,3
Al4Ni35B11,True,10,3
Al4Ni37B9,True,9,3
Al52Co23Si25,True,12,3
Al52Fe23Ge25,True,12,3
Al52Fe23Si25,True,12,3
Al52Si25Ni23,True,12,3
Al53Si16Mo31,True,12,3
Al57Co18Ge25,True,12,3
Al57Cr23Si20,False,12,3
Al57Cr28Si15,False,12,3
Al57Fe27Ni16,False,12,3
Al57V18Ge25,True,11,3
Al58Cr17Si25,True,12,3
Al59Cr19Si22,False,12,3
Al59Ni10Ge31,True,12,3
Al5Fe2Cu3,False,9,3
Al5V2Ge3,False,8,3
Al5VCu4,False,7,3
Al5VGe4,False,7,3
Al6(Co3B)11,True,11,3
Al6(Fe3B)11,True,11,3
Al6(Ni3B)11,True,11,3
Al61(Cr7Si6)3,False,13,3
Al61Cr10Ge29,True,12,3
Al62(CrSi)19,False,12,3
Al62.5Fe12.5Cu25,False,16,3
Al62Fe17Cu21,False,12,3
Al62Ni13Ge25,True,12,3
Al63Cr15Si22,False,12,3
Al63Cr19Si18,False,12,3
Al63Fe12Si25,True,12,3
Al63Si6Mo31,True,11,3
Al64Fe13Cu23,False,12,3
Al65(Fe3Ni2)7,False,13,3
Al65Si17.5Ni17.5,True,16,3
Al65Si19Ni16,True,12,3
Al66.5Si18.5Ni15,True,16,3
Al67(Fe7Ni4)3,False,13,3
Al67.5Si17.5Ni15,True,16,3
Al67V13Cu20,True,11,3
Al68Cr15Si17,False,12,3
Al69Co6Ge25,True,11,3
Al69Fe13Cu18,False,12,3
Al69Fe6Ge25,True,11,3
Al69Ni6Ge25,True,11,3
Al69V6Ge25,True,10,3
Al6Co25B19,True,10,3
Al6Co27B17,True,10,3
Al6Co29B15,True,10,3
Al6Co31B13,True,10,3
Al6Co35B9,True,9,3
Al6Co37B7,False,9,3
Al6Co39B5,False,9,3
Al6Co41B3,False,9,3
Al6Co9B10,True,9,3
Al6Cr3Si,False,8,3
Al6CrGe3,True,8,3
Al6CrSi3,True,8,3
Al6Fe37B7,True,9,3
Al6Fe39B5,False,9,3
Al6Fe41B3,False,9,3
Al6Ni27B17,True,10,3
Al6Ni29B15,True,10,3
Al6Ni31B13,True,10,3
Al6Ni35B9,True,9,3
Al6Ni37B7,False,9,3
Al6NiGe3,True,8,3
Al6VCu3,True,7,3
Al6VGe3,True,7,3
Al70Si17Ni13,True,12,3
Al71Co4Si25,True,11,3
Al71Cr4Si25,True,11,3
Al71Fe15Cu14,True,12,3
Al71Si25Ni4,True,11,3
Al72Fe13Ni15,False,12,3
Al73Fe13Cu14,False,12,3
Al75Fe14Ni11,True,12,3
Al77V3Cu20,False,10,3
Al78Fe7Cu15,False,11,3
Al79(FeNi2)7,True,12,3
Al79Si11Ni10,True,12,3
Al7Cr2Si,False,8,3
Al7CrSi2,False,8,3
Al7Cu3,False,6,2
Al7Fe2Ni,True,8,3
Al7Ni18,False,7,2
Al7Ni2Mo,True,8,3
Al7Ni3,False,6,2
Al7VCu2,True,7,3
Al7VGe2,False,7,3
Al8(Co11B3)3,True,12,3
Al8(Co5B)7,True,10,3
Al8(Co9B5)3,True,11,3
Al8(Fe11B3)3,True,12,3
Al8(Fe5B)7,True,10,3
Al8(Ni11B3)3,True,12,3
Al8(Ni5B)7,False,10,3
Al8(Ni9B5)3,True,11,3
Al81Cr19,False,8,2
Al82(Fe5Ni)3,True,12,3
Al83Cr17,False,8,2
Al83Fe3Ni14,False,11,3
Al84Fe3Ni13,False,11,3
Al85(FeNi4)3,False,12,3
Al85(Ni4Mo)3,True,12,3
Al85CoNi14,False,10,3
Al85Fe2Ni13,False,11,3
Al85Fe8Si7,False,10,3
Al85FeNi14,False,10,3
Al86(FeNi)7,False,11,3
Al86.7Fe1Ni12.3,True,15,3
Al86Co3Ni11,False,11,3
Al86Co5Ni9,False,10,3
Al86CoNi13,False,10,3
Al86Fe3Ni11,True,11,3
Al86Fe5Ni9,False,10,3
Al86FeNi13,False,10,3
Al87.5Fe0.5Ni12,True,15,3
Al87.5Fe2Ni10.5,True,15,3
Al87.5Fe3.5Ni9,True,14,3
Al87Co2Ni11,True,11,3
Al87Co3Ni10,False,11,3
Al87Co4Ni9,False,10,3
Al87Co5Ni8,False,10,3
Al87CoNi12,True,10,3
Al87Fe2Co11,True,11,3
Al87Fe2Ni11,True,11,3
Al87Fe3Ni10,True,11,3
Al87Fe4Co9,False,10,3
Al87Fe4Ni9,False,10,3
Al87Fe5Ni8,False,10,3
Al87Fe6Ni7,False,10,3
Al87FeNi12,True,10,3
Al87V5Cu8,False,9,3
Al87V8Cu5,False,9,3
Al88(Co3Ni)3,False,12,3
Al88(CoNi3)3,False,12,3
Al88(FeNi3)3,True,12,3
Al88.5Fe3Ni8.5,True,14,3
Al88Co11Ni,False,10,3
Al88Co5Ni7,True,10,3
Al88Co7Ni5,False,10,3
Al88CoNi11,False,10,3
Al88Fe5Ni7,False,10,3
Al88FeNi11,True,10,3
Al89Co2Ni9,False,10,3
Al89Co3Ni8,False,10,3
Al89Co4Ni7,False,10,3
Al89Co5Ni6,False,10,3
Al89Co6Ni5,False,10,3
Al89CoNi10,False,10,3
Al89Fe2Ni9,False,10,3
Al89Fe3Ni8,False,10,3
Al89Fe4Ni7,False,10,3
Al89Fe5Ni6,False,10,3
Al89Fe6Ni5,False,10,3
Al89Fe7Ni4,False,10,3
Al89Fe9Ni2,False,10,3
Al89FeNi10,False,10,3
Al8Co25B17,True,10,3
Al8Co29B13,True,10,3
Al8Co31B11,True,10,3
Al8Co37B5,False,9,3
Al8CrSi,False,7,3
Al8Fe29B13,True,10,3
Al8Fe31B11,True,10,3
Al8Fe37B5,False,9,3
Al8Ni23B19,True,10,3
Al8Ni25B17,True,10,3
Al8Ni29B13,True,10,3
Al8Ni31B11,True,10,3
Al8VCu,True,6,3
Al90FeNi9,False,9,3
Al91(Fe2Ni)3,False,12,3
Al91(FeNi2)3,False,12,3
Al91Co2Ni7,False,10,3
Al91CoNi8,False,9,3
Al91Fe2Ni7,False,10,3
Al91FeNi8,False,9,3
Al92Fe5Ni3,False,10,3
Al9Co,False,5,2
Al9Cr,False,5,2
Al9Cr3Si8,False,9,3
Al9Cr4Si7,False,9,3
Al9Fe,False,5,2
Al9Ni,False,5,2
Al9V3Ge8,False,8,3
AlCu,False,4,2
AlFe17Si2,True,9,3
B12Mo23Ru15,True,11,3
B15(Mo3Ru2)17,True,13,3
B3Mo17,False,6,2
B3Mo7,False,5,2
B5(Mo3Rh7)2,True,11,3
B8Mo55.5Ru36.5,True,14,3
BMo3,False,4,2
BMo4,False,4,2
BMo8P,True,5,3
BMo9,False,4,2
Ba10La53.5Cu36.5,True,16,3
Ba10La56.5Cu33.5,True,16,3
Ba2(La9Cu7)3,True,12,3
Ba2La11Cu7,True,10,3
Ba2La13Cu10,True,11,3
Ba2La59Cu39,True,11,3
Ba2La71Cu27,True,11,3
Ba3La56Cu41,True,11,3
Ba3La57Cu40,True,11,3
Ba4(La23Cu9)3,True,13,3
Ba4.5La68Cu27.5,True,15,3
Ba4La31Cu15,True,11,3
Ba5La29Cu16,True,11,3
Ba5La53Cu42,True,11,3
Ba67La28Cu5,True,11,3
Ba7.5La63.5Cu29,True,15,3
Ba7La51.5Cu41.5,True,15,3
Ba7La65Cu28,True,11,3
Ba9(La4Cu3)13,True,13,3
Ba9.5La52.5Cu38,True,15,3
Ba9La60Cu31,True,11,3
BaLa61Cu38,True,10,3
Be2Fe7B,True,7,3
Ca(La5Cu2)7,True,11,3
Ca1.25Al88.75Ni10,False,17,3
Ca1.5La71Cu27.5,True,15,3
Ca10Al87.5Fe2.5,False,15,3
Ca10Al87.5Ni2.5,False,15,3
Ca11Al89,True,8,2
Ca11Mg89,False,8,2
Ca12Mg7Ga,True,9,3
Ca14(MgAl)3,True,11,3
Ca15Mg3Cu2,True,10,3
Ca1La61.5Cu37.5,True,15,3
Ca1La71.5Cu27.5,True,15,3
Ca2.5Al87.5Ni10,False,15,3
Ca2.5Al92.5Fe5,False,14,3
Ca2.5Al92.5Ni5,False,14,3
Ca2Al17Co,True,9,3
Ca2Al17Cu,True,9,3
Ca2Al17Fe,True,9,3
Ca2Al17Ni,True,9,3
Ca2Al17Zn,True,9,3
Ca2La60.5Cu37.5,True,15,3
Ca2Mg17Zn,True,9,3
Ca2MgAl17,True,9,3
Ca3Al2,True,6,2
Ca3AlGa,True,7,3
Ca3La59.5Cu37.5,True,15,3
Ca3La68.5Cu28.5,True,15,3
Ca3Mg2,True,6,2
Ca3MgGa,True,7,3
Ca4La58.5Cu37.5,True,15,3
Ca4La67Cu29,True,11,3
Ca5(Mg3Cu2)3,True,12,3
Ca5La57.5Cu37.5,True,15,3
Ca5Mg3Cu2,True,9,3
Ca6.5La56.5Cu37,True,15,3
Ca6Al3Ga,True,8,3
Ca6AlGa3,True,8,3
Ca6La63Cu31,True,11,3
Ca6Mg3Ga,True,8,3
Ca6MgGa3,True,8,3
Ca7.5Al87.5Fe5,True,14,3
Ca7.5Al87.5Ni5,True,14,3
Ca7.5Al90Fe2.5,True,14,3
Ca7.5Al90Ni2.5,True,14,3
Ca7.5Al92.5,False,11,2
Ca7.5La56.5Cu36,True,15,3
Ca7.5Mg82.5Cu10,True,15,3
Ca7.5Mg82.5Zn10,False,15,3
Ca7.5Mg87.5Cu5,True,14,3
Ca7.5Mg87.5Zn5,False,14,3
Ca7.5Mg92.5,False,11,2
Ca70Mg7.5Al22.5,True,15,3
Ca7Al3,True,6,2
Ca7Cu3,True,6,2
Ca7La61Cu32,True,11,3
Ca7Mg2Cu,True,8,3
Ca7Mg3,True,6,2
Ca7MgCu2,True,8,3
Ca8.5La56.5Cu35,True,15,3
Ca8.5La58.5Cu33,True,15,3
Ca8La59.5Cu32.5,True,15,3
Ca9Al91,True,7,2
Ca9La57.5Cu33.5,True,15,3
CaAl17Ni2,False,9,3
CaAl18Fe,False,8,3
CaAl18Ni,False,8,3
CaAl8Ni,False,7,3
CaAl9,True,5,2
CaLa13Cu6,True,9,3
CaMg17Cu2,False,9,3
CaMg17Zn2,False,9,3
CaMg18Cu,False,8,3
CaMg18Zn,False,8,3
CaMg7Al2,True,8,3
CaMg8Zn,True,7,3
CaMg9,False,5,2
Ce(Al2Ni)3,True,10,3
Ce(Al6Fe)7,False,10,3
Ce(Cu2Ag)3,True,10,3
Ce(Cu7Ag5)2,True,11,3
Ce(CuAg2)3,False,10,3
Ce(Mg2Ni)3,True,10,3
Ce(MgNi)2,False,9,3
Ce10(Al29Cr)3,True,13,3
Ce10Al61Ni29,True,12,3
Ce10Al77Co13,False,12,3
Ce10Al83Cr7,False,11,3
Ce10Al89Ni,True,10,3
Ce10Mn7Al83,False,11,3
Ce10Nb13Al77,False,12,3
Ce11Al5Ni4,True,10,3
Ce11Al89,True,8,2
Ce13Al85V2,False,10,3
Ce13Al87,True,8,2
Ce17Al71Fe12,False,12,3
Ce18Al67Fe15,False,12,3
Ce18Al77Fe5,False,11,3
Ce2(Al5Co)3,False,11,3
Ce2(Al5Cu)3,True,11,3
Ce2(Al5Fe)3,False,11,3
Ce2(Al5Ni)3,True,11,3
Ce2(AlCu15)3,False,12,3
Ce2(Mg5Cu)3,True,11,3
Ce2(Mg5Ni)3,True,11,3
Ce23Al60Fe17,False,12,3
Ce23Al64Fe13,False,12,3
Ce25.5Al62.5Fe12,False,16,3
Ce25Al62.5Fe12.5,False,16,3
Ce2Al17Co,True,9,3
Ce2Al17Cr,True,9,3
Ce2Al17Cu,True,9,3
Ce2Al17Fe,True,9,3
Ce2Al17Ni,True,9,3
Ce2Al17V,False,8,3
Ce2Al22V,False,8,3
Ce2Al23,True,7,2
Ce2Al2Cu21,True,10,3
Ce2Al3Cu20,True,10,3
Ce2Al43Ni5,True,10,3
Ce2Al47Co,False,9,3
Ce2Al47Fe,False,9,3
Ce2Al5Cu43,False,10,3
Ce2Al7Fe,False,8,3
Ce2Al7Ni,False,8,3
Ce2Al83Cu15,False,11,3
Ce2Al93Cr5,False,10,3
Ce2Al95Co3,False,10,3
Ce2AlCu22,False,9,3
Ce2Cu13Ag10,True,11,3
Ce2Cu23Ag25,True,11,3
Ce2Cu53Ag45,False,11,3
Ce2Mg13Cu5,True,10,3
Ce2Mg17Cu,False,9,3
Ce2Mg17Ni,True,9,3
Ce2Mg5Ni3,True,9,3
Ce2Mg7Cu,False,8,3
Ce2Mg7Ni,False,8,3
Ce2Mn5Al93,False,10,3
Ce2MnAl17,True,9,3
Ce2NbAl17,True,9,3
Ce3Al13Fe4,False,10,3
Ce3Al13Ni4,True,10,3
Ce3Al14Cu3,False,10,3
Ce3Al14Fe3,False,10,3
Ce3Al14Ni3,True,10,3
Ce3Al15Co2,False,10,3
Ce3Al15Cu2,False,10,3
Ce3Al15Fe2,False,10,3
Ce3Al16Co,False,9,3
Ce3Al16Cr,False,9,3
Ce3Al16Cu,False,9,3
Ce3Al16Fe,False,9,3
Ce3Al16Ni,False,9,3
Ce3Al22,True,7,2
Ce3Al3Cu44,False,10,3
Ce3Al42Ni5,True,10,3
Ce3Al43Ni4,True,10,3
Ce3Al47,False,7,2
Ce3Al4Cu43,False,10,3
Ce3Al5Cu42,False,10,3
Ce3Al6Cu41,False,10,3
Ce3Al7Cu40,False,10,3
Ce3Al90Co7,True,10,3
Ce3Al90Fe7,True,10,3
Ce3AlCu46,False,9,3
Ce3Cu32Ag15,True,11,3
Ce3Cu37Ag10,True,11,3
Ce3Cu37Ag60,False,11,3
Ce3Cu42Ag5,True,10,3
Ce3Cu47Ag50,True,11,3
Ce3Cu52Ag45,True,11,3
Ce3Cu57Ag40,True,11,3
Ce3Cu62Ag35,False,11,3
Ce3Cu67Ag30,False,11,3
Ce3Cu77Ag20,False,11,3
Ce3Cu87Ag10,False,11,3
Ce3Mg12Cu5,False,10,3
Ce3Mg13Cu4,True,10,3
Ce3Mg14Cu3,True,10,3
Ce3Mg15Cu2,False,10,3
Ce3Mg15Ni2,True,10,3
Ce3Mg16Cu,False,9,3
Ce3Mg4Ni3,False,9,3
Ce3Mg85Zn12,True,11,3
Ce3Nb2Al15,False,10,3
Ce3NbAl16,False,9,3
Ce3NbAl46,True,9,3
Ce4(Cu17Ag15)3,True,14,3
Ce4(Cu27Ag5)3,False,13,3
Ce4Al13Fe3,False,10,3
Ce4Al15Fe,False,9,3
Ce4Al3Cu43,False,10,3
Ce4Al41Ni5,True,10,3
Ce4Al5Cu41,True,10,3
Ce4Al7Cu39,False,10,3
Ce4AlCu45,False,9,3
Ce4Cu43Ag3,False,10,3
Ce4Cu61Ag35,True,11,3
Ce4Mg11Cu5,False,10,3
Ce4Mg13Cu3,False,10,3
Ce4Mg15Cu,False,9,3
Ce4NbAl45,True,9,3
Ce5(Al2Cu13)3,False,13,3
Ce5(Al4Fe)3,False,11,3
Ce5(AlCu14)3,True,12,3
Ce5(Mg4Ni)9,True,11,3
Ce5Al13Fe2,False,10,3
Ce5Al2Cu43,False,10,3
Ce5Al44Co,True,9,3
Ce5Al44Cu,True,9,3
Ce5Al44Fe,True,9,3
Ce5Al44V,True,8,3
Ce5Al4Cu41,True,10,3
Ce5Al7Cu38,False,10,3
Ce5Al83Co12,True,11,3
Ce5Al87Ni8,True,10,3
Ce5Al88Cu7,False,10,3
Ce5Al91Ni4,True,10,3
Ce5AlCu44,False,9,3
Ce5Mn2Al43,True,10,3
Ce5MnAl44,True,9,3
Ce5NbAl44,True,9,3
Ce6Al85Ni9,True,10,3
Ce6Al87Ni7,True,10,3
Ce6Al89V5,False,9,3
Ce6Cu39Ag55,True,11,3
Ce6Cu59Ag35,True,11,3
Ce6Cu69Ag25,True,11,3
Ce6Cu79Ag15,True,11,3
Ce6Cu89Ag5,False,10,3
Ce6Mn5Al89,False,10,3
Ce7Al83Cu10,True,11,3
Ce7Al83Fe10,True,11,3
Ce7Al93,True,7,2
Ce7Nb10Al83,True,11,3
Ce8Al87Co5,True,10,3
Ce8Al87Cr5,False,10,3
Ce8Al87Cu5,True,10,3
Ce8Al87Fe5,True,10,3
Ce8Al89Cr3,False,10,3
Ce8Cu37Ag55,True,11,3
Ce8Cu87Ag5,False,10,3
Ce8Mn5Al87,False,10,3
Ce8Nb5Al87,True,10,3
Ce9Al91,True,7,2
CeAl13Ni6,True,9,3
CeAl15Co4,False,9,3
CeAl15Cu4,False,9,3
CeAl15Ni4,True,9,3
CeAl16Co3,True,9,3
CeAl16Cu3,True,9,3
CeAl16Ni3,True,9,3
CeAl17Co2,True,9,3
CeAl17Cu2,True,9,3
CeAl17Fe2,True,9,3
CeAl17Ni2,True,9,3
CeAl18Co,True,8,3
CeAl18Cu,False,8,3
CeAl18Fe,True,8,3
CeAl18Ni,False,8,3
CeAl19,False,6,2
CeAl3Fe,False,7,3
CeAl3Ni,False,7,3
CeAl44Co5,True,9,3
CeAl44Cu5,False,9,3
CeAl44Fe5,True,9,3
CeAl44Ni5,True,9,3
CeAl47Cr2,False,9,3
CeAl47Fe2,False,9,3
CeAl47V2,False,8,3
CeAl5Cu44,False,9,3
CeAl7Cu2,False,8,3
CeAl7Fe2,False,8,3
CeAl7Ni2,True,8,3
CeAl89Fe10,False,10,3
CeAl8Co,True,7,3
CeAl8Cr,False,7,3
CeAl8Cu,True,7,3
CeAl8Fe,True,7,3
CeAl8Ni,True,7,3
CeAl8V,False,6,3
CeAl9,True,5,2
CeAlCu23,False,8,3
CeAlCu8,False,7,3
CeCu10Ag9,True,9,3
CeCu11Ag8,True,9,3
CeCu12Ag7,True,9,3
CeCu13Ag6,False,9,3
CeCu15Ag4,False,9,3
CeCu17Ag2,False,9,3
CeCu18Ag,False,8,3
CeCu19Ag5,False,9,3
CeCu24Ag25,False,10,3
CeCu29Ag20,False,10,3
CeCu2Ag7,False,8,3
CeCu4Ag5,True,8,3
CeCu59Ag40,False,10,3
CeCu5Ag14,False,9,3
CeCu5Ag4,True,8,3
CeCu7Ag12,False,9,3
CeCu7Ag2,True,8,3
CeCu8Ag,True,7,3
CeCu8Ag11,True,9,3
CeCu9Ag10,True,9,3
CeMg13Cu6,True,9,3
CeMg14Cu5,True,9,3
CeMg15Cu4,True,9,3
CeMg15Ni4,True,9,3
CeMg16Cu3,True,9,3
CeMg17Cu2,True,9,3
CeMg17Ni2,True,9,3
CeMg18Cu,False,8,3
CeMg18Ni,False,8,3
CeMg2Cu,False,7,3
CeMg3Cu,False,7,3
CeMg3Ni,True,7,3
CeMg7Cu2,True,8,3
CeMg7Ni2,True,8,3
CeMg8Cu,True,7,3
CeMg8Ni,True,7,3
CeMg9,False,5,2
CeMn2Al17,False,9,3
CeMn2Al47,False,9,3
CeMn5Al44,False,9,3
CeMnAl8,False,7,3
CeNb2Al17,False,9,3
CeNbAl18,False,8,3
CeNbAl8,True,7,3
Co,False,2,1
Co1.7Si16.5Pd81.8,True,17,3
Co10Ni68.5P21.5,False,15,3
Co10Ni71P19,False,11,3
Co10Ni73P17,False,11,3
Co10Si16.5Pd73.5,True,16,3
Co11Mo9C5,True,9,3
Co12.5Ni66P21.5,False,15,3
Co12.5Ni68.5P19,False,15,3
Co12.5Ni70.5P17,False,15,3
Co12.5Si16.5Pd71,True,16,3
Co12B8C5,False,8,3
Co12B9C4,False,8,3
Co12Mo8C5,True,9,3
Co12Mo9C4,True,9,3
Co13(B2C)4,True,10,3
Co13(B3C)3,False,10,3
Co13B7,True,6,2
Co13B7C5,False,8,3
Co13Mo7C5,True,9,3
Co13Si2B5,True,9,3
Co13Si3B4,True,9,3
Co13Si4B3,False,9,3
Co13SiB6,True,8,3
Co13W3C4,False,8,3
Co13W4C3,False,8,3
Co14(SiB)3,True,10,3
Co14(WC)3,True,9,3
Co14B6C5,True,8,3
Co14B7C4,True,8,3
