category,yield_strength,Fe,C,Mn,Si,Cr,Ni,Mo,V,Nb,Co,Al,Ti,N,W
high_strength,1592.9,0.733,0.0075,0.00164,0.001,0.0213,0.0964,0.00587,0.000111,6.06e-05,0.133,0.000209,,,
high_strength,1599.4,0.787,0.000474,0.000207,0.000203,0.000109,0.176,0.0181,0.000112,6.12e-05,9.65e-05,0.0019,0.015,,
high_strength,1600.0,0.789,0.00143,0.000104,0.000204,0.00011,0.181,0.000119,0.000112,6.17e-05,9.72e-05,0.00212,0.0168,,0.00935
high_strength,1603.3,0.66,0.000484,0.000106,0.000207,0.000112,0.148,0.0364,0.000114,6.25e-05,0.146,0.000646,0.00752,,
high_strength,1605.4,0.692,0.00837,0.00112,0.00179,0.000107,0.169,0.000116,0.0474,6.01e-05,0.0764,0.00228,0.000933,,
high_strength,1615.8,0.735,0.0111,0.000101,0.000198,0.0974,0.0266,0.00754,0.00404,5.99e-05,0.117,0.000619,0.000349,,
high_strength,1629.9,0.734,0.0075,0.000615,0.000802,0.0211,0.0974,0.00575,0.000111,6.06e-05,0.132,0.000209,0.000118,,
high_strength,1641.2,0.786,0.000473,0.00031,0.000202,0.000109,0.175,0.0182,0.000112,6.12e-05,9.65e-05,0.0019,0.0167,,
high_strength,1646.7,0.683,0.00749,0.000102,0.0002,0.156,9.58e-05,0.0309,0.00453,6.05e-05,0.112,0.000834,,0.00522,
high_strength,1653.6,0.814,0.0169,0.00236,0.000201,0.071,9.6e-05,0.0338,0.00951,0.00249,0.0488,0.000627,,,
high_strength,1661.2,0.759,0.000472,0.000103,0.000202,0.000109,0.203,0.0124,0.000111,6.1e-05,9.61e-05,0.00273,0.0225,,
high_strength,1667.4,0.757,0.0186,0.00163,0.000199,0.131,9.53e-05,0.0341,0.0105,6.02e-05,0.0467,0.000622,,,
high_strength,1669.3,0.677,0.000478,0.000104,0.000204,0.00011,0.146,0.0188,0.000113,6.17e-05,0.149,0.000638,0.00839,,
high_strength,1674.6,0.801,0.000934,0.000102,0.0002,0.000108,0.171,0.00175,0.00011,6.04e-05,9.52e-05,0.00208,0.0229,,
high_strength,1680.6,0.686,0.000469,0.00041,0.000802,0.107,0.0671,0.0161,,,0.0767,0.0376,,,0.00745
high_strength,1681.2,0.806,0.0176,0.00181,0.000209,0.0802,9.99e-05,0.00153,0.0124,6.31e-05,0.0501,0.000652,,,0.0293
high_strength,1681.2,0.819,0.015,0.00236,0.000201,0.0716,9.6e-05,0.0338,0.0102,6.06e-05,0.0468,0.000626,,,
high_strength,1683.0,0.787,0.0137,0.000103,0.000202,0.0111,0.101,0.0118,0.00111,6.1e-05,0.0689,0.00063,0.000118,,0.00394
high_strength,1688.1,0.781,0.000475,0.000104,0.000203,0.00011,0.173,0.0184,0.0112,6.13e-05,9.67e-05,0.00106,0.0131,,0.00102
high_strength,1688.1,0.804,0.0166,0.00238,0.000202,0.0782,9.69e-05,0.0343,0.0114,6.12e-05,0.0473,0.000632,,,0.00476
high_strength,1688.1,0.811,0.0182,0.00225,0.0002,0.0755,9.57e-05,0.0337,0.0119,6.05e-05,0.0467,0.000625,,,
high_strength,1716.3,0.788,,0.000104,0.000203,0.000109,0.176,0.0184,0.000112,6.13e-05,9.66e-05,0.00105,0.0166,,
high_strength,1722.5,0.823,0.0176,0.00183,0.000198,0.0779,9.49e-05,0.0219,0.0105,6e-05,0.0463,0.00062,,,
high_strength,1723.2,0.81,0.00094,0.000103,0.000201,0.000109,0.151,0.0118,0.000111,6.08e-05,9.58e-05,0.00209,0.0234,,
high_strength,1729.4,0.687,,0.000102,0.000199,0.119,0.0952,0.00716,0.00011,6.01e-05,0.0712,0.0118,0.00689,,0.000851
high_strength,1730.2,0.779,0.000946,0.000103,0.000202,0.000109,0.173,0.0184,0.01,6.11e-05,9.64e-05,0.00147,0.0166,,
high_strength,1730.2,0.781,0.00141,0.000103,0.000201,0.000109,0.167,0.000118,0.02,0.0152,9.6e-05,0.0021,0.0126,,
high_strength,1730.2,0.785,0.000931,0.000102,0.000199,0.000108,0.167,0.000117,0.0209,6.02e-05,9.49e-05,0.00187,0.0241,,
high_strength,1730.2,0.799,0.000936,0.000102,0.0002,0.000108,0.17,0.00375,0.00011,6.05e-05,9.54e-05,0.00167,0.0238,,
high_strength,1731.7,0.687,0.0162,0.000101,0.000199,0.0965,0.0142,0.0116,0.00328,6e-05,0.17,0.00062,0.000233,,
high_strength,1736.3,0.625,,0.000102,0.0002,0.0936,0.129,0.0048,0.00011,6.04e-05,0.132,0.00812,0.00669,,
high_strength,1736.3,0.808,0.0201,0.00214,0.0002,0.077,9.55e-05,0.0328,0.0112,6.03e-05,0.0475,0.000623,,,
high_strength,1737.2,0.796,0.000469,0.000103,0.000201,0.000108,0.174,0.00587,0.000111,6.06e-05,9.56e-05,0.00167,0.0212,,
high_strength,1741.8,0.713,0.0108,0.000102,0.0002,0.0335,0.106,0.00697,0.00011,6.05e-05,0.129,0.000208,0.000117,,
high_strength,1743.5,0.712,0.0103,0.000102,0.0002,0.0336,0.108,0.00698,0.00011,6.05e-05,0.129,0.000208,0.000117,,
high_strength,1746.6,0.713,0.0108,0.000102,0.0002,0.0336,0.107,0.00691,0.00011,6.05e-05,0.128,0.000208,0.000117,,
high_strength,1755.2,0.686,0.000466,0.000102,0.000199,0.0951,0.103,0.00694,0.0045,6.02e-05,0.0877,0.00892,0.00666,,
high_strength,1768.0,0.678,0.000464,0.000102,0.000199,0.0873,0.114,0.000116,0.00011,6e-05,0.0992,0.00806,0.0129,,
high_strength,1777.6,0.711,0.0108,0.000102,0.0002,0.0336,0.108,0.00697,0.00011,6.05e-05,0.129,0.000208,0.000117,,
high_strength,1779.7,0.687,0.000467,0.000102,0.0002,0.0835,0.114,0.00573,0.00011,6.04e-05,0.0947,0.00562,0.00832,,
high_strength,1784.5,0.802,0.0174,0.00185,0.000201,0.0805,9.62e-05,0.0403,0.0106,6.08e-05,0.0468,0.000628,,,
high_strength,1792.1,0.713,0.00984,0.000102,0.0002,0.0335,0.107,0.00698,0.00011,6.06e-05,0.129,0.000209,0.000118,,
high_strength,1792.2,0.816,0.000937,0.000102,0.0002,0.000108,0.147,0.00821,0.00011,6.06e-05,9.55e-05,0.0025,0.0247,,
high_strength,1795.5,0.714,0.00984,0.000102,0.0002,0.0336,0.106,0.00698,0.00011,6.05e-05,0.129,0.000208,0.000118,,
high_strength,1798.3,0.783,0.0187,0.00184,0.0002,0.104,9.55e-05,0.0341,0.0106,6.03e-05,0.0463,0.000623,,,
high_strength,1801.8,0.747,0.000899,0.000982,0.082,0.000104,0.166,0.000112,0.000106,5.81e-05,9.16e-05,0.0014,0.00101,,
high_strength,1804.2,0.713,0.0112,0.000102,0.0002,0.0337,0.106,0.00697,0.00011,6.05e-05,0.128,0.000208,0.000117,,
high_strength,1805.2,0.813,0.0187,0.00143,0.0002,0.08,9.57e-05,0.0337,0.00617,6.04e-05,0.046,0.000624,,,
high_strength,1810.0,0.709,0.0103,0.000102,0.0002,0.0328,0.107,0.00692,0.00011,6.05e-05,0.133,0.000625,0.000117,,
high_strength,1812.1,0.858,0.0191,0.00194,0.000199,0.0753,9.54e-05,0.0341,0.0101,6.03e-05,0.00019,0.000623,,,
high_strength,1818.0,0.714,0.0108,0.000102,0.0004,0.0337,0.106,0.00703,0.00011,6.05e-05,0.128,0.000208,0.000117,,
high_strength,1819.0,0.803,0.0168,0.00215,0.0002,0.0834,9.57e-05,0.0334,0.0127,6.05e-05,0.047,0.000625,,,
high_strength,1825.8,0.668,0.000469,0.000102,0.0002,0.119,0.0764,0.0293,0.00011,6.06e-05,0.0817,0.0252,0.000118,,
high_strength,1837.9,0.668,,0.000102,0.0002,0.119,0.0767,0.0292,0.000111,6.06e-05,0.0813,0.0248,0.000235,,
high_strength,1846.5,0.772,0.0169,0.00226,0.000201,0.0732,9.61e-05,0.0338,0.0106,6.07e-05,0.0905,0.000627,,,
high_strength,1860.3,0.825,0.0174,0.00175,0.000201,0.0565,9.63e-05,0.0344,0.0116,0.00554,0.0468,0.000628,,,
high_strength,1870.6,0.665,0.000468,0.000102,0.0002,0.121,0.0768,0.0293,0.00011,6.06e-05,0.0823,0.0254,0.000118,,
high_strength,1874.6,0.799,0.000471,0.000103,0.000201,0.000109,0.165,0.0118,0.000111,6.09e-05,9.6e-05,0.00147,0.0215,,
high_strength,1998.6,0.77,0.00047,0.000103,0.000201,0.000109,0.168,0.0124,0.0222,6.07e-05,9.57e-05,0.00251,0.0236,,
high_strength,2005.5,0.779,0.00141,0.000103,0.000201,0.000109,0.174,0.013,0.000111,6.08e-05,9.59e-05,0.0023,0.0295,,
high_strength,2006.0,0.779,0.00141,0.000103,0.000201,0.000109,0.174,0.013,0.000111,6.08e-05,9.59e-05,0.00209,0.0295,,
high_strength,2157.3,0.671,0.00047,0.000514,0.001,0.000109,0.141,0.00882,0.000111,6.07e-05,0.147,0.0159,0.0137,,
high_strength,2249.6,0.636,0.000474,0.000518,0.00101,0.000109,0.188,0.0086,0.000112,6.12e-05,0.144,0.00274,0.0184,,
high_strength,2331.1,0.652,,0.000522,0.00102,0.00011,0.177,0.0209,0.000113,6.17e-05,0.126,0.00212,0.0194,,
high_strength,2356.4,0.7,0.000479,0.000523,0.00102,0.000111,0.17,0.0298,0.000113,6.19e-05,0.0771,0.00277,0.018,,
high_strength,2372.4,0.662,0.000477,0.000521,0.00102,0.00011,0.168,0.0236,0.000112,6.16e-05,0.119,0.00488,0.0213,,
high_strength,2381.6,0.657,0.000954,0.000522,0.00102,0.00011,0.166,0.0243,0.00776,6.17e-05,0.12,0.0034,0.0189,,
high_strength,2381.6,0.667,0.000477,0.000522,0.00102,0.00011,0.171,0.0233,0.000113,6.17e-05,0.115,0.00361,0.0184,,
high_strength,2402.3,0.655,,0.000522,0.00102,0.00011,0.176,0.0215,0.00563,6.17e-05,0.117,0.000425,0.0228,,
high_strength,2411.5,0.62,0.000953,0.000521,0.00102,0.00011,0.192,0.0176,0.000112,6.16e-05,0.146,0.00318,0.0185,,
high_strength,2411.5,0.65,0.000477,0.000522,0.00102,0.00011,0.176,0.0215,0.000113,6.17e-05,0.126,0.0017,0.0225,,
high_strength,2487.3,0.634,0.000478,0.000523,0.00102,0.000111,0.173,0.0237,0.000113,6.19e-05,0.146,0.00277,0.0176,,
high_strength,2501.1,0.644,,0.000521,0.00102,0.00011,0.177,0.0215,0.000112,6.17e-05,0.126,0.00234,0.0269,,
high_strength,2510.3,0.661,0.000475,0.00052,0.00102,0.00011,0.17,0.0247,0.000112,6.15e-05,0.111,0.0131,0.0177,,
medium_strength,1005.9,0.717,0.00096,0.000105,0.000205,0.000111,0.178,0.0288,0.000113,0.00186,0.0665,0.00192,0.00494,,
medium_strength,1005.9,0.773,0.000933,0.000612,0.00259,0.112,0.0945,0.0126,0.00011,6.03e-05,9.5e-05,0.00187,0.00152,,
medium_strength,1010.8,0.777,0.00047,0.000719,0.00201,0.0836,0.115,0.0178,0.000111,6.07e-05,9.58e-05,0.00167,0.000707,,
medium_strength,1012.8,0.689,0.00193,0.000105,0.000206,0.000111,0.185,0.0362,0.000114,6.23e-05,0.0785,0.00343,0.00507,,
medium_strength,1016.4,0.73,0.00414,0.0101,0.00983,0.186,0.0395,0.0158,0.000108,5.94e-05,9.37e-05,0.000614,,0.00394,
medium_strength,1019.0,0.823,,0.000618,0.00101,0.0561,0.0984,0.0189,0.000111,6.09e-05,9.61e-05,0.000629,0.00106,,
medium_strength,1019.7,0.721,0.00191,0.000104,0.000204,0.00011,0.147,0.0299,0.000113,0.00123,0.0856,0.0106,0.00288,,
medium_strength,1021.0,0.819,0.00507,0.00686,0.00493,0.127,0.0225,0.0102,0.00359,5.96e-05,9.4e-05,0.000616,,0.000791,
medium_strength,1026.6,0.707,0.000959,0.000105,0.000205,0.000111,0.183,0.0306,0.000113,6.2e-05,0.0675,0.00256,0.0077,,
medium_strength,1026.6,0.712,0.00143,0.000104,0.000203,0.00011,0.146,0.0297,0.000112,0.00123,0.0852,0.0207,0.0031,,
medium_strength,1026.6,0.721,0.000955,0.000104,0.000204,0.00011,0.143,0.0299,0.00484,0.00124,0.0867,0.0102,0.0024,,
medium_strength,1028.7,0.744,0.00414,0.0217,0.00354,0.18,0.0401,0.00598,0.000108,5.94e-05,9.37e-05,0.000614,,,
medium_strength,1032.1,0.774,,0.000511,0.000599,0.111,0.0985,0.012,0.00011,6.04e-05,9.52e-05,0.00187,0.00105,,
medium_strength,1036.9,0.794,0.00047,0.000617,0.00101,0.0847,0.0981,0.0188,0.000111,6.08e-05,9.58e-05,0.00126,0.00118,,
medium_strength,1040.4,0.721,0.000476,0.000104,0.000203,0.056,0.109,0.0304,0.0105,6.15e-05,0.0611,0.00191,0.00931,,
medium_strength,1047.3,0.735,0.000951,0.000104,0.000203,0.0549,0.108,0.0286,0.000112,6.15e-05,0.0601,0.0019,0.00978,,
medium_strength,1061.1,0.737,0.000956,0.000105,0.000204,0.00011,0.127,0.0299,0.0053,6.18e-05,0.0867,0.00426,0.00852,,
medium_strength,1061.7,0.792,0.00047,0.000411,0.00201,0.0862,0.098,0.0181,0.000111,6.07e-05,9.57e-05,0.00167,0.000589,,
medium_strength,1071.4,0.719,0.000945,0.000103,0.000202,0.0557,0.108,0.0302,0.000111,6.11e-05,0.0597,0.0149,0.0111,,
medium_strength,1074.9,0.755,0.00552,0.00543,0.0236,0.128,0.0188,0.0173,0.0038,0.00244,0.0375,0.000615,,0.00197,
medium_strength,1081.1,0.67,0.00439,0.00704,0.00563,0.138,9.99e-05,0.000122,0.000115,6.31e-05,0.147,0.000652,,0.00126,0.0255
medium_strength,1087.0,0.78,0.000465,0.00122,0.00159,0.105,0.0953,0.00991,0.00011,6.02e-05,9.49e-05,0.00414,0.00222,,
medium_strength,1088.6,0.648,0.000453,9.91e-05,0.0386,0.183,0.0195,0.000113,0.000107,5.86e-05,0.109,0.000605,0.000569,,
medium_strength,1088.6,0.707,0.000959,0.000105,0.000205,0.000111,0.182,0.0306,0.000113,6.2e-05,0.0655,0.00256,0.0107,,
medium_strength,1091.4,0.76,0.000468,0.000102,0.0002,0.113,0.0986,0.0181,0.00011,6.05e-05,9.53e-05,0.00749,0.00129,,
medium_strength,1096.5,0.735,0.00514,0.00593,0.0044,0.128,9.57e-05,0.0227,0.00011,6.04e-05,0.0972,0.000624,,0.000802,
medium_strength,1109.3,0.706,0.000906,9.9e-05,0.0372,0.162,0.0361,0.000113,0.000107,5.86e-05,0.0554,0.000806,0.000796,,
medium_strength,1109.3,0.712,0.00144,0.000105,0.000205,0.000111,0.18,0.0306,0.000113,6.2e-05,0.0655,0.00235,0.00842,,
medium_strength,1117.3,0.732,0.00415,0.00504,0.00553,0.182,0.0395,0.0117,0.000109,5.97e-05,0.019,0.000616,,,
medium_strength,1123.1,0.623,0.00854,0.000104,0.000203,0.147,9.71e-05,0.0179,0.00515,6.14e-05,0.188,0.000845,,0.00163,0.00729
medium_strength,1123.1,0.71,0.000477,0.000104,0.000204,0.00011,0.149,0.0305,0.000112,6.17e-05,0.0885,0.0127,0.00814,,
medium_strength,1123.1,0.727,0.000476,0.000104,0.000203,0.0549,0.108,0.0304,0.000112,6.15e-05,0.0611,0.00212,0.0154,,
medium_strength,1125.0,0.779,0.00139,0.000101,0.000198,0.114,0.0973,0.000116,0.000109,5.97e-05,9.41e-05,0.00432,0.00359,,
medium_strength,1130.0,0.703,0.000908,9.92e-05,0.0375,0.146,0.0557,0.000114,0.000107,5.87e-05,0.0555,0.000606,0.000569,,
medium_strength,1130.4,0.74,0.00457,0.03,0.00586,0.179,0.0393,0.000114,0.000108,5.91e-05,9.31e-05,0.00061,,,
medium_strength,1131.9,0.678,0.00421,0.00645,0.00741,0.133,9.58e-05,0.0233,0.00011,6.05e-05,0.145,0.000625,,0.00161,
medium_strength,1133.4,0.669,0.00331,0.0059,0.00648,0.129,9.69e-05,0.0375,0.000112,6.12e-05,0.147,0.000632,,0.00203,
medium_strength,1136.8,0.72,0.000948,0.000104,0.000203,0.0559,0.109,0.0303,0.00548,6.13e-05,0.0609,0.00865,0.0088,,
medium_strength,1136.9,0.806,0.000468,0.0176,0.000401,0.000108,0.174,0.000117,0.00011,6.06e-05,9.55e-05,0.00104,0.000705,,
medium_strength,1139.7,0.86,0.0125,0.00274,0.000198,0.00439,0.0786,0.00284,0.000765,6e-05,0.0369,0.000619,,,
medium_strength,1143.7,0.673,0.000908,9.92e-05,0.0361,0.167,0.0372,0.000114,0.000107,5.87e-05,0.0851,0.000404,0.000569,,
medium_strength,1144.8,0.702,0.000943,0.000103,0.000202,0.000109,0.142,0.000118,0.000111,6.09e-05,0.149,0.000629,0.00509,,
medium_strength,1145.8,0.762,0.00093,0.00752,0.00199,0.11,0.0971,0.0115,0.00011,6.01e-05,9.48e-05,0.00621,0.00257,,
medium_strength,1150.6,0.771,,0.00122,0.0014,0.107,0.1,0.0123,0.00011,6.03e-05,9.5e-05,0.00477,0.00257,,
medium_strength,1150.6,0.795,0.00141,0.000717,0.000801,0.0963,0.081,0.0191,0.00011,6.06e-05,9.55e-05,0.00313,0.0027,,
medium_strength,1153.4,0.754,0.0064,0.03,0.00469,0.166,0.0387,0.000114,0.000108,5.91e-05,9.31e-05,0.00061,,,
medium_strength,1155.0,0.672,0.00473,0.00527,0.00647,0.131,9.68e-05,0.0373,0.000111,6.11e-05,0.141,0.000631,,0.00162,
medium_strength,1155.0,0.754,0.00599,0.0101,0.00493,0.165,0.0396,0.0159,0.000109,5.96e-05,9.4e-05,0.000616,,0.00395,
medium_strength,1157.5,0.757,0.000465,0.000712,0.00219,0.121,0.0981,0.0119,0.00011,6.02e-05,9.48e-05,0.00497,0.00269,,
medium_strength,1163.0,0.766,,0.00448,0.00159,0.109,0.0981,0.0117,0.00011,6.02e-05,9.49e-05,0.00622,0.00257,,
medium_strength,1164.4,0.666,0.00702,0.000102,0.0002,0.157,9.58e-05,0.0296,0.00508,6.05e-05,0.129,0.00104,,0.00602,
medium_strength,1164.4,0.681,0.000478,0.000104,0.000204,0.00011,0.181,0.0293,0.00439,6.18e-05,0.0847,0.0108,0.00779,,
medium_strength,1164.4,0.721,0.000955,0.000104,0.000204,0.00011,0.146,0.0287,0.00293,6.17e-05,0.0846,0.00765,0.0085,,
medium_strength,1164.4,0.722,0.000475,0.000104,0.000203,0.0549,0.109,0.0297,0.000112,6.14e-05,0.06,0.0019,0.0216,,
medium_strength,1167.2,0.768,0.000931,0.00244,0.00199,0.11,0.0981,0.0113,0.00011,6.02e-05,9.48e-05,0.00497,0.00269,,
medium_strength,1167.2,0.807,0.00047,0.000513,0.00221,0.0501,0.116,0.0164,0.000111,6.07e-05,9.57e-05,0.00439,0.00236,,
medium_strength,1169.2,0.793,0.000468,0.000819,0.0024,0.0962,0.08,0.019,0.00011,6.05e-05,9.54e-05,0.00521,0.00235,,
medium_strength,1169.4,0.664,0.00754,0.000103,0.000604,0.152,0.0105,0.0292,0.000111,0.00164,0.134,0.000629,,,
medium_strength,1172.0,0.766,,0.00051,0.000399,0.121,0.0945,0.012,0.00011,6.03e-05,9.5e-05,0.0027,0.00351,,
medium_strength,1172.0,0.822,0.00047,0.000616,0.00161,0.0512,0.0971,0.0184,0.000111,6.07e-05,9.57e-05,0.00523,0.00271,,
medium_strength,1173.8,0.765,,0.00112,0.00597,0.11,0.099,0.0119,0.00011,6.01e-05,9.48e-05,0.00414,0.00257,,
medium_strength,1175.4,0.767,0.000465,0.00112,0.00358,0.11,0.0981,0.0119,0.00011,6.01e-05,9.48e-05,0.00559,0.00257,,
medium_strength,1178.9,0.766,,0.00366,0.00159,0.11,0.0981,0.0118,0.00011,6.02e-05,9.49e-05,0.00622,0.00269,,
medium_strength,1182.0,0.766,0.0014,0.000102,0.000199,0.115,0.09,0.0143,0.00011,6.01e-05,9.48e-05,0.00952,0.00327,,
medium_strength,1185.1,0.661,0.000454,9.93e-05,0.0375,0.164,0.0381,0.000114,0.000107,5.87e-05,0.0972,0.000606,0.000684,,
medium_strength,1188.5,0.803,0.00046,0.000402,0.0368,0.000106,0.157,0.000115,0.000108,5.94e-05,9.37e-05,0.00102,0.000923,,
medium_strength,1188.6,0.77,0.00093,0.00488,0.00199,0.107,0.0952,0.0112,0.00011,6.01e-05,9.48e-05,0.006,0.00245,,
